World,Location,Action,AP Location Name,AP Location ID,Item
Agrabah,Cave: Hall,Chest,Agrabah Cave of Wonders Hall High Left Chest,2652132,Elixir
Agrabah,Cave: Hall,Chest,Agrabah Cave of Wonders Hall Near Bottomless Hall Chest,2652133,Mythril Shard
Agrabah,Cave:Core,Defeat Genie Jafar,Agrabah Defeat Jafar Genie Fire Event,2656053,Fire
Agrabah,Cave:Core,Defeat Genie Jafar,Agrabah Defeat Jafar Genie Ansem's Report 1,2657018,Ansem's Report 1
Agrabah,Dark Chamber,Chest,Agrabah Cave of Wonders Dark Chamber Abu Gem Chest,2652251,Protera Chain
Agrabah,Dark Chamber,Chest,Agrabah Cave of Wonders Dark Chamber Across from Relic Chamber Entrance Chest,2652252,Gummi
Agrabah,Dark Chamber,Chest,Agrabah Cave of Wonders Dark Chamber Bridge Chest,2652253,Torn Page 3
Agrabah,Dark Chamber,Chest,Agrabah Cave of Wonders Dark Chamber Near Save Chest,2652254,Cottage
Agrabah,Dark Chamber,Chest,Agrabah Cave of Wonders Dark Chamber Abu Gem Chest,2652251,Protera Chain
Agrabah,Desert,Defeat Kurt Zisa,Agrabah Defeat Kurt Zisa Ansem's Report 11,2657026,Ansem's Report 11
Agrabah,Desert,Defeat Kurt Zisa,Agrabah Defeat Kurt Zisa Zantetsuken Event,2656378,Zantetsuken
Agrabah,Entrance,Chest,Agrabah Cave of Wonders Entrance White Trinity Chest,2652332,Ifrit Belt
Agrabah,Hidden Room,Chest,Agrabah Cave of Wonders Hidden Room Right Chest,2652292,Gummi
Agrabah,Hidden Room,Chest,Agrabah Cave of Wonders Hidden Room Left Chest,2652293,Puppies
Agrabah,Lamp Chamber,Defeat Jafar,Agrabah Defeat Jafar Blizzard Event,2656052,Blizzard
Agrabah,Main Street,Chest,Agrabah Main Street Right Palace Entrance Chest,2652014,Mega-Ether
Agrabah,Main Street,Chest,Agrabah Main Street High Above Alley Entrance Chest,2652051,Dark Matter
Agrabah,Main Street,Chest,Agrabah Main Street High Above Palace Gates Entrance Chest,2652052,Mythril
Agrabah,Main Street,Chest,Agrabah Main Street High Above Palace Gates Entrance Chest,2652052,Mythril
Agrabah,Main Street,Chest,Agrabah Main Street High Above Alley Entrance Chest,2652051,Dark Matter
Agrabah,Palace Gates,Chest,Agrabah Palace Gates Low Chest,2652053,Protera Chain
Agrabah,Palace Gates,Chest,Agrabah Palace Gates High Opposite Palace Chest,2652054,Puppies
Agrabah,Palace Gates,Chest,Agrabah Palace Gates High Close to Palace Chest,2652091,Gummi
Agrabah,Palace Gates,Chest,Agrabah Palace Gates Low Chest,2652053,Protera Chain
Agrabah,Plaza,Chest,Agrabah Plaza Top Corner Chest,2651974,Cottage
Agrabah,Relic Chamber,Chest,Agrabah Cave of Wonders Relic Chamber Jump from Stairs Chest,2652213,Mythril
Agrabah,Relic Chamber,Chest,Agrabah Cave of Wonders Relic Chamber Stairs Chest,2652214,Thunder Ring
Agrabah,Relic Chamber,Chest,Agrabah Cave of Wonders Relic Chamber Stairs Chest,2652214,Thunder Ring
Agrabah,Silent Chamber,Chest,Agrabah Cave of Wonders Silent Chamber Blue Trinity Chest,2652291,Gummi
Agrabah,Storage,Chest,Agrabah Storage Green Trinity Chest,2652092,AP Up
Agrabah,Treasure Room,Red Trinity,Agrabah Treasure Room Red Trinity,2656611,
Agrabah,Treasure Room,Chest,Agrabah Cave of Wonders Treasure Room Across Platforms Chest,2652173,Puppies
Agrabah,Treasure Room,Chest,Agrabah Cave of Wonders Treasure Room Small Treasure Pile Chest,2652174,Mythril Shard
Agrabah,Treasure Room,Chest,Agrabah Cave of Wonders Treasure Room Large Treasure Pile Chest,2652211,Gummi
Agrabah,Treasure Room,Chest,Agrabah Cave of Wonders Treasure Room Above Fire Chest,2652212,Defense Up
Atlantica,Ariel's Grotto,Chest,Atlantica Ariel's Grotto Low Chest,2652572,Mega-Potion
Atlantica,Ariel's Grotto,Chest,Atlantica Ariel's Grotto Middle Chest,2652571,Cottage
Atlantica,Ariel's Grotto,Chest,Atlantica Ariel's Grotto High Chest,2652534,Torn Page 1
Atlantica,Ariel's Grotto,Seal Keyhole,Atlantica Seal Keyhole Crabclaw Event,2656073,Crabclaw
Atlantica,Below Deck,Chest,Atlantica Sunken Ship Crystal Trident Event,2656381,Crystal Trident
Atlantica,Below Deck,Chest,Atlantica Sunken Ship Inside Ship Chest,2652533,Mythril Shard
Atlantica,Below Deck,Clam,Atlantica Below Deck Clam,2656214,Mythril
Atlantica,Cavern Nook,Clam,Atlantica Cavern Nook Clam,2656213,Mega-Ether
Atlantica,Sunken Ship,Chest,Atlantica Sunken Ship Seabed Chest,2652532,Mythril Shard
Atlantica,Sunken Ship,Chest,Atlantica Sunken Ship In Flipped Boat Chest,2652531,Elixir
Atlantica,Triton's Palace,Clam,Atlantica Triton's Palace Wall Right Clam,2656210,Mega-Ether
Atlantica,Triton's Palace,Clam,Atlantica Triton's Palace Wall Left Clam,2656212,Cottage
Atlantica,Triton's Palace,Clam,Atlantica Triton's Palace Near Path Clam,2656211,Elixir
Atlantica,Triton's Palace,Thunder Clam,Atlantica Triton's Palace Thunder Clam,2656209,Mythril Shard
Atlantica,Triton's Palace,White Trinity,Atlantica Triton's Palace White Trinity Chest,2652611,Orichalcum
Atlantica,Triton's Throne,Defeat Ursula 2,Atlantica Defeat Ursula II Thunder Event,2656072,Thunder
Atlantica,Triton's Throne,Defeat Ursula 2,Atlantica Defeat Ursula II Thunder Event,2657016,Ansem's Report 3
Atlantica,Undersea Cave,Clam,Atlantica Undersea Cave Clam,2656216,Cottage
Atlantica,Undersea Garden,Clam,Atlantica Undersea Garden Clam,2656215,Mega-Potion
Atlantica,Undersea Gorge,Blizzard Clam,Atlantica Undersea Gorge Blizzard Clam,2656201,Mythril Shard
Atlantica,Undersea Gorge,Clam,Atlantica Undersea Gorge Ocean Floor Clam,2656202,Mega-Ether
Atlantica,Undersea Gorge,Lodged Chest,Atlantica Undersea Gorge Jammed by Ariel's Grotto Chest,2652574,Orichalcum
Atlantica,Undersea Valley,Clam,Atlantica Undersea Valley Pillar Clam,2656207,Elixir
Atlantica,Undersea Valley,Fire Clam,Atlantica Undersea Valley Fire Clam,2656205,Mythril Shard
Atlantica,Undersea Valley,Clam,Atlantica Undersea Valley Higher Cave Clam,2656203,Mega-Ether
Atlantica,Undersea Valley,Clam,Atlantica Undersea Valley Ocean Floor Clam,2656208,Mega-Potion
Atlantica,Undersea Valley,Clam,Atlantica Undersea Valley Lower Cave Clam,2656204,Mythril
Atlantica,Undersea Valley,Clam,Atlantica Undersea Valley Wall Clam,2656206,Cottage
Atlantica,Ursula's Lair,Urchin Chest,Atlantica Ursula's Lair Use Fire on Urchin Chest,2652573,Mythril
Atlantica,Ursula's Lair,Defeat Ursula 1,Atlantica Defeat Ursula I Mermaid Kick Event,2656071,Mermaid Kick
Deep Jungle,Bamboo Thicket,Rescue Gorillas,Deep Jungle Bamboo Thicket Save Gorillas,2656367,Fire-G
Deep Jungle,Bamboo Thicket,Defeat Sabor,Deep Jungle Defeat Sabor White Fang Event,2656021,White Fang
Deep Jungle,Camp,Rescue Gorillas,Deep Jungle Camp Save Gorillas,2656366,Protect-G
Deep Jungle,Camp,Fire Experiment,Deep Jungle Camp Hi-Potion Experiment,2656361,Hi-Potion
Deep Jungle,Camp,Blizzard Experiment,Deep Jungle Camp Ether Experiment,2656362,Ether
Deep Jungle,Camp,Replication Experiment,Deep Jungle Camp Replication Experiment,2656363,Ether
Deep Jungle,Camp,Chest,Deep Jungle Camp Blue Trinity Chest,2651333,Puppies
Deep Jungle,Camp: Tent,Chest,Deep Jungle Tent Chest,2651334,Mythril Shard
Deep Jungle,Cavern of Hearts,Seal Keyhole,Deep Jungle Cavern of Hearts Navi-G Piece Event,2656384,Navi-G Piece
Deep Jungle,Cavern of Hearts,Chest,Deep Jungle Cavern of Hearts White Trinity Chest,2651332,Orichalcum
Deep Jungle,Cavern of Hearts,Chest,Deep Jungle Cavern of Hearts White Trinity Chest,2651332,Orichalcum
Deep Jungle,Cliff,Rescue Gorillas,Deep Jungle Cliff Save Gorillas,2656364,Aeroga-G
Deep Jungle,Cliff,Defeat Clayton,Deep Jungle Defeat Clayton Cure Event,2656022,Cure
Deep Jungle,Cliff,Chest,Deep Jungle Cliff Right Cliff Left Chest,2651411,Mega-Potion
Deep Jungle,Cliff,Chest,Deep Jungle Cliff Right Cliff Right Chest,2651412,Mythril Shard
Deep Jungle,Climbing Trees,Rescue Gorillas,Deep Jungle Climbing Trees Save Gorillas,2656368,Aeroga-G
Deep Jungle,Climbing Trees,Chest,Deep Jungle Climbing Trees Blue Trinity Chest,2651293,Gummi
Deep Jungle,Green Serpent,Gather 10 Fruits,Deep Jungle Jungle Slider 10 Fruits,2656370,Elixir
Deep Jungle,Hippos' Lagoon,Chest,Deep Jungle Hippo's Lagoon Center Chest,2651251,Puppies
Deep Jungle,Hippos' Lagoon,Chest,Deep Jungle Hippo's Lagoon Left Chest,2651252,Mega-Potion
Deep Jungle,Hippos' Lagoon,Chest,Deep Jungle Hippo's Lagoon Right Chest,2651253,Gummi
Deep Jungle,Jade Spiral,Gather 30 Fruits,Deep Jungle Jungle Slider 30 Fruits,2656372,Dark Matter
Deep Jungle,Jungle: Cliff,Chest,Deep Jungle Cliff Right Cliff Left Chest,2651411,Mega-Potion
Deep Jungle,Jungle: Cliff,Chest,Deep Jungle Cliff Right Cliff Right Chest,2651412,Mythril Shard
Deep Jungle,Jungle: Tunnel,Chest,Deep Jungle Tunnel Chest,2651331,Mega-Ether
Deep Jungle,Jungle: Vines,Chest,Deep Jungle Vines Chest,2651291,Mythril
Deep Jungle,Jungle: Vines 2,Chest,Deep Jungle Vines 2 Chest,2651292,Puppies
Deep Jungle,Panic Fall,Gather 40 Fruits,Deep Jungle Jungle Slider 40 Fruits,2656373,Defense Up
Deep Jungle,Shadow Cavern,Gather 50 Fruits,Deep Jungle Jungle Slider 50 Fruits,2656374,Power Up
Deep Jungle,Splash Tunnel,Gather 20 Fruits,Deep Jungle Jungle Slider 20 Fruits,2656371,AP Up
Deep Jungle,Tent,Seal Keyhole,Deep Jungle Seal Keyhole Red Trinity Event,2656024,Red Trinity
Deep Jungle,Tent,Reunite with Donald and Goofy,Deep Jungle Tent Protect-G Event,2656383,Protect-G
Deep Jungle,Tent,Seal Keyhole,Deep Jungle Seal Keyhole Jungle King Event,2656023,Jungle King
Deep Jungle,Tree House,Rescue Gorillas,Deep Jungle Tree House Save Gorillas,2656365,Shell-G
Deep Jungle,Tree House,Chest,Deep Jungle Tree House Beneath Tree House Chest,2651213,Mega-Potion
Deep Jungle,Tree House,Chest,Deep Jungle Tree House Rooftop Chest,2651214,Protect Chain
Deep Jungle,Tree House,Chest,Deep Jungle Tree House Suspended Boat Chest,2651413,Mythril
Deep Jungle,Treehouse,Chest,Deep Jungle Tree House Beneath Tree House Chest,2651213,Mega-Potion
Deep Jungle,Treehouse,Chest,Deep Jungle Tree House Rooftop Chest,2651214,Protect Chain
Deep Jungle,Treehouse,Chest,Deep Jungle Tree House Suspended Boat Chest,2651413,Mythril
Deep Jungle,Treetop,Green Trinity,Deep Jungle Treetop Green Trinity,2656610,
Deep Jungle,Waterfall Cavern,Chest,Deep Jungle Waterfall Cavern Low Chest,2651371,Mythril Shard
Deep Jungle,Waterfall Cavern,Chest,Deep Jungle Waterfall Cavern Middle Chest,2651372,Puppies
Deep Jungle,Waterfall Cavern,Chest,Deep Jungle Waterfall Cavern High Wall Chest,2651373,Mythril
Deep Jungle,Waterfall Cavern,Chest,Deep Jungle Waterfall Cavern High Middle Chest,2651374,Orichalcum
Destiny Islands,Cove,Win Race Against Riku (Day 2),,,Pretty Stone
Destiny Islands,Cove,Gather Mushroom Near Zip Line (Day 2),Destiny Islands Cove Gather Mushroom Near Zip Line (Day 2),2656712,Mushroom
Destiny Islands,Cove,Gather Mushroom in Small Cave (Day 2),Destiny Islands Cove Gather Mushroom in Small Cave (Day 2),2656713,Mushroom
Destiny Islands,Cove,Talk to Kairi (Day 2),Destiny Islands Cove Talk to Kairi (Day 2),2656714,Empty Bottle
Destiny Islands,Cove,Gather Drinking Water (Day 2),Destiny Islands Gather Drinking Water (Day 2),2656715,Drinking Water
Destiny Islands,Cove,Gather Coconut (Day 2),,,Coconut
Destiny Islands,Cove,Kairi Reward (Day 2),Destiny Islands Cove Deliver Kairi Items (Day 2),2656716,Hi-Potion
Destiny Islands,Cove,Chest,Destiny Islands Chest,2650011,Protect Chain
Destiny Islands,Cove,Chest,Destiny Islands Chest,2650011,Protect Chain
Destiny Islands,Seashore,Log on Riku's Island (Day 1),Destiny Islands Seashore Log on Riku's Island (Day 1),2656704,Log
Destiny Islands,Seashore,Log Under Bridge (Day 1),Destiny Islands Seashore Log under Bridge (Day 1),2656705,Log
Destiny Islands,Seashore,Gather Cloth (Day 1),Destiny Islands Seashore Gather Cloth (Day 1),2656706,Cloth
Destiny Islands,Seashore,Gather Coconut (Day 1),,,Coconut
Destiny Islands,Seashore,Gather Rope (Day 1),Destiny Islands Seashore Gather Rope (Day 1),2656707,Rope
Destiny Islands,Seashore,Defeat Riku (Day 1),,,Potion
Destiny Islands,Seashore,Defeat Trio (Day 1),,,Potion
Destiny Islands,Seashore,Brings Items to Kairi (Day 1),Destiny Islands Seashore Deliver Kairi Items (Day 1),2656710,Hi-Potion
Destiny Islands,Seashore,Capture Fish 3 (Day 2),Destiny Islands Seashore Capture Fish 3 (Day 2),2656702,Fish
Destiny Islands,Seashore,Capture Fish 1 (Day 2),Destiny Islands Seashore Capture Fish 1 (Day 2),2656700,Fish
Destiny Islands,Seashore,Capture Fish 2 (Day 2),Destiny Islands Seashore Capture Fish 2 (Day 2),2656701,Fish
Destiny Islands,Seashore,Gather Seagull Egg (Day 2),Destiny Islands Seashore Gather Seagull Egg (Day 2),2656703,Seagull Egg
Destiny Islands,Seashore,Gather Coconut (Day 2),,,Coconut
Destiny Islands,Seashore,Gather Coconuts (Day 2),,,Coconut
Destiny Islands,Seashore,Gather Drinking Water (Day 2),Destiny Islands Gather Drinking Water (Day 2),2656715,Drinking Water
Destiny Islands,Secret Place,Gather Mushroom (Day 2),Destiny Islands Secret Place Gather Mushroom,2656711,Mushroom
End of the World,Final Dimension,Chest,End of the World Final Dimension 1st Chest,2654531,Mythril Shard
End of the World,Final Dimension,Chest,End of the World Final Dimension 2nd Chest,2654532,Pretty Stone
End of the World,Final Dimension,Chest,End of the World Final Dimension 3rd Chest,2654533,Mega-Potion
End of the World,Final Dimension,Chest,End of the World Final Dimension 4th Chest,2654534,Mythril
End of the World,Final Dimension,Chest,End of the World Final Dimension 5th Chest,2654571,Elixir
End of the World,Final Dimension,Chest,End of the World Final Dimension 6th Chest,2654572,Mythril Shard
End of the World,Final Dimension,Chest,End of the World Final Dimension 10th Chest,2654573,Pretty Stone
End of the World,Final Dimension,Chest,End of the World Final Dimension 9th Chest,2654574,Cottage
End of the World,Final Dimension,Chest,End of the World Final Dimension 8th Chest,2654611,Gale
End of the World,Final Dimension,Chest,End of the World Final Dimension 7th Chest,2654612,AP Up
End of the World,Final Dimension,Chest,End of the World Final Dimension 1st Chest,2654531,Mythril Shard
End of the World,Final Dimension,Chest,End of the World Final Dimension 2nd Chest,2654532,Pretty Stone
End of the World,Final Dimension,Chest,End of the World Final Dimension 3rd Chest,2654533,Mega-Potion
End of the World,Final Dimension,Chest,End of the World Final Dimension 4th Chest,2654534,Mythril
End of the World,Final Dimension,Chest,End of the World Final Dimension 5th Chest,2654571,Elixir
End of the World,Final Dimension,Chest,End of the World Final Dimension 6th Chest,2654572,Mythril Shard
End of the World,Final Dimension,Chest,End of the World Final Dimension 10th Chest,2654573,Pretty Stone
End of the World,Final Dimension,Chest,End of the World Final Dimension 9th Chest,2654574,Cottage
End of the World,Final Dimension,Chest,End of the World Final Dimension 8th Chest,2654611,Gale
End of the World,Final Dimension,Chest,End of the World Final Dimension 7th Chest,2654612,AP Up
End of the World,Final Rest,Chest,End of the World Final Rest Chest,2654772,Megalixir
End of the World,Giant Crevasse,Chest,End of the World Giant Crevasse 3rd Chest,2654613,Gummi
End of the World,Giant Crevasse,Chest,End of the World Giant Crevasse 5th Chest,2654614,Meteor Strike
End of the World,Giant Crevasse,Chest,End of the World Giant Crevasse 1st Chest,2654651,Gummi
End of the World,Giant Crevasse,Chest,End of the World Giant Crevasse 4th Chest,2654652,Dark Matter
End of the World,Giant Crevasse,Chest,End of the World Giant Crevasse 2nd Chest,2654653,Gummi
End of the World,Giant Crevasse,Chest,End of the World Giant Crevasse 4th Chest,2654652,Dark Matter
End of the World,Giant Crevasse,Chest,End of the World Giant Crevasse 5th Chest,2654614,Meteor Strike
End of the World,Volcanic Crater,Defeat Chernabog,End of the World Defeat Chernabog Superglide Event,2656111,Super Glide
End of the World,World Terminus: 100 Acre Wood,Chest,End of the World World Terminus 100 Acre Wood Chest,2654734,Megalixir
End of the World,World Terminus: Agrabah,Chest,End of the World World Terminus Agrabah Chest,2654694,Blaze Gem
End of the World,World Terminus: Agrabah,Chest,End of the World World Terminus Agrabah Chest,2654694,Blaze Gem
End of the World,World Terminus: Atlantica,Chest,End of the World World Terminus Atlantica Chest,2654731,AP Up
End of the World,World Terminus: Atlantica,Chest,End of the World World Terminus Atlantica Chest,2654731,AP Up
End of the World,World Terminus: Deep Jungle,Chest,End of the World World Terminus Deep Jungle Chest,2654693,Bright Gem
End of the World,World Terminus: Deep Jungle,Chest,End of the World World Terminus Deep Jungle Chest,2654693,Bright Gem
End of the World,World Terminus: Halloween Town,Chest,End of the World World Terminus Halloween Town Chest,2654732,Lucid Gem
End of the World,World Terminus: Halloween Town,Chest,End of the World World Terminus Halloween Town Chest,2654732,Lucid Gem
End of the World,World Terminus: Hollow Bastion,Chest,End of the World World Terminus Hollow Bastion Chest,2654771,Elixir
End of the World,World Terminus: Hollow Bastion,Chest,End of the World World Terminus Hollow Bastion Chest,2654771,Elixir
End of the World,World Terminus: Neverland,Chest,End of the World World Terminus Neverland Chest,2654733,Mighty Shield
End of the World,World Terminus: Neverland,Chest,End of the World World Terminus Neverland Chest,2654733,Mighty Shield
End of the World,World Terminus: Olympus Coliseum,Chest,End of the World World Terminus Olympus Coliseum Chest,2654692,Frost Gem
End of the World,World Terminus: Olympus Coliseum,Chest,End of the World World Terminus Olympus Coliseum Chest,2654692,Frost Gem
End of the World,World Terminus: Traverse Town,Chest,End of the World World Terminus Traverse Town Chest,2654654,Spirit Gem
End of the World,World Terminus: Traverse Town,Chest,End of the World World Terminus Traverse Town Chest,2654654,Spirit Gem
End of the World,World Terminus: Wonderland,Chest,End of the World World Terminus Wonderland Chest,2654691,Thunder Gem
End of the World,World Terminus: Wonderland,Chest,End of the World World Terminus Wonderland Chest,2654691,Thunder Gem
Halloween Town,Boneyard,Chest,Halloween Town Boneyard Tombstone Puzzle Chest,2653052,Jack-In-The-Box
Halloween Town,Bridge,Chest,Halloween Town Bridge Under Bridge,2653051,Gummi
Halloween Town,Bridge,Chest,Halloween Town Bridge Right of Gate Chest,2653053,Defense Up
Halloween Town,Bridge,Chest,Halloween Town Bridge Left of Gate Chest,2653291,Gummi
Halloween Town,Cemetery,Chest,Halloween Town Cemetery Behind Grave Chest,2653054,Dark Matter
Halloween Town,Cemetery,Chest,Halloween Town Cemetery By Cat Shape Chest,2653091,Puppies
Halloween Town,Cemetery,Chest,Halloween Town Cemetery Between Graves Chest,2653092,Gummi
Halloween Town,Cemetery,Chest,Halloween Town Cemetery By Striped Grave Chest,2653292,Gummi
Halloween Town,Graveyard,Defeat All Heartless,Halloween Town Graveyard Forget-Me-Not Event,2656382,Forget-Me-Not
Halloween Town,Guillotine Square,Ring Jack's Doorbell 3 Times,Halloween Town Guillotine Square Ring Jack's Doorbell 3 Times,2656331,Elixir
Halloween Town,Guillotine Square,Chest,Halloween Town Guillotine Square High Tower Chest,2653133,Power Up
Halloween Town,Guillotine Square,Chest,Halloween Town Guillotine Square Pumpkin Structure Left Chest,2653134,Elixir
Halloween Town,Guillotine Square,Chest,Halloween Town Guillotine Square Under Jack's House Stairs Chest,2653293,Gummi
Halloween Town,Guillotine Square,Chest,Halloween Town Guillotine Square Pumpkin Structure Right Chest,2653294,Puppies
Halloween Town,Moonlight Hill,Chest,Halloween Town Moonlight Hill White Trinity Chest,2653014,Puppies
Halloween Town,Oogie Manor/Manor Ruins,Chest,Halloween Town Oogie's Manor Lower Iron Cage Chest,2653093,Orichalcum
Halloween Town,Oogie Manor/Manor Ruins,Chest,Halloween Town Oogie's Manor Upper Iron Cage Chest,2653094,Mega-Ether
Halloween Town,Oogie Manor/Manor Ruins,Chest,Halloween Town Oogie's Manor Hollow Chest,2653131,Puppies
Halloween Town,Oogie Manor/Manor Ruins,Chest,Halloween Town Oogie's Manor Grounds Red Trinity Chest,2653132,Mythril Shard
Halloween Town,Oogie Manor/Manor Ruins,Chest,Halloween Town Oogie's Manor Entrance Steps Chest,2653171,Ether
Halloween Town,Oogie Manor/Manor Ruins,Chest,Halloween Town Oogie's Manor Inside Entrance Chest,2653172,Ether
Halloween Town,Oogie Manor/Manor Ruins,Chest,Halloween Town Oogie's Manor Lower Iron Cage Chest,2653093,Orichalcum
Halloween Town,Research Lab,Examine Shelf,Halloween Town Lab Torn Page,2656508,Torn Page 4
Halloween Town,Research Lab,Seal Keyhole,Halloween Town Seal Keyhole Pumpkinhead Event,2656083,Pumpkinhead
Halloween Town,Torture Chamber,Defeat Oogie Boogie 1,Halloween Town Defeat Oogie Boogie Ansem's Report 7,2657012,Ansem's Report 7
Halloween Town,Torture Chamber,Defeat Oogie Boogie 2,Halloween Town Defeat Oogie's Manor Gravity Event,2656082,Gravity
Halloween Town,Torture Chamber,Defeat Oogie Boogie,Halloween Town Defeat Oogie Boogie Holy Circlet Event,2656081,Holy Circlet
Hollow Bastion,Base Level,Chest,Hollow Bastion Base Level Bubble Under the Wall Platform Chest,2654331,Mythril
